taxonID	acceptedNameUsageID	taxonomicStatus	family	genus	specificEpithet	infraspecificEpithet	scientificName	taxonRank	scientificNameAuthorship	nameAccordingTo	nameAccordingToID	scientificNameID	namePublishedIn	references
kew-2715589	kew-2694405	synonym	Brassicaceae	Chamaelinum	sativum		Chamaelinum sativum	species	Host	WCSP (in review)		urn:lsid:ipni.org:names:280873-1		
rjp-20607	rjp-6	synonym	Rosaceae	Chamaemorus	anglica		Chamaemorus anglica	species	Clus. ex Greene	RJP	20607	urn:lsid:ipni.org:names:722147-1		
rjp-62140	rjp-6	synonym	Rosaceae	Chamaemorus	anglicus		Chamaemorus anglicus	species	Greene	RJP	62140	urn:lsid:ipni.org:names:722147-1		
rjp-14270	rjp-6	synonym	Rosaceae	Chamaemorus	chamaemorus		Chamaemorus chamaemorus	species	(L.) House	RJP	14270	urn:lsid:ipni.org:names:55100-2		
rjp-62141	rjp-6	synonym	Rosaceae	Chamaemorus	norvegicus		Chamaemorus norvegicus	species	Greene	RJP	62141	urn:lsid:ipni.org:names:722149-1		
rjp-20608	rjp-6	synonym	Rosaceae	Chamaemorus	norwegica		Chamaemorus norwegica	species	Clus. ex Greene	RJP	20608	urn:lsid:ipni.org:names:722149-1		
kew-37737	kew-166480	synonym	Arecaceae	Chamaephoenix	sargentii		Chamaephoenix sargentii	species	(H.Wendl. ex Sarg.) Curtiss	WCSP	37737	urn:lsid:ipni.org:names:665881-1		
rjp-24263	rjp-2038	synonym	Rosaceae	Chamaephyton	supinum		Chamaephyton supinum	species	(L.) Fourr.	RJP	24263	urn:lsid:ipni.org:names:722150-1		
kew-37739	kew-5197	synonym	Lamiaceae	Chamaepitys	arvensis		Chamaepitys arvensis	species	Schur	WCSP	37739	urn:lsid:ipni.org:names:445657-1		
kew-37740	kew-5173	synonym	Lamiaceae	Chamaepitys	bombycina		Chamaepitys bombycina	species	(Boiss.) Holub	WCSP	37740	urn:lsid:ipni.org:names:445658-1	Holub J (1974) New names inPhanerogamae 3. Folia Geobotanica et Phytotaxonomica 9(3): 261-275. doi: 10.1007/bf02853148.	http://doi.org/10.1007/bf02853148
kew-37741	kew-5218	synonym	Lamiaceae	Chamaepitys	chasmophila		Chamaepitys chasmophila	species	(P.H.Davis) Holub	WCSP	37741	urn:lsid:ipni.org:names:445659-1	Holub J (1974) New names inPhanerogamae 3. Folia Geobotanica et Phytotaxonomica 9(3): 261-275. doi: 10.1007/bf02853148.	http://doi.org/10.1007/bf02853148
kew-5001036		accepted	Salicaceae	Salix	lanata		Salix lanata	species	L.	WCSP (in review)		urn:lsid:ipni.org:names:304306-2		
kew-5001061	kew-5001859	synonym	Salicaceae	Salix	lanata		Salix lanata	species	Vill.	WCSP (in review)		urn:lsid:ipni.org:names:777983-1		
kew-5004155	kew-5001853	synonym	Salicaceae	Salix	lanata	calcicola	Salix lanata subsp. calcicola	subspecies	(Fernald & Wiegand) Hultén	WCSP (in review)		urn:lsid:ipni.org:names:225928-2		
tro-28300759	kew-5001036	synonym	Salicaceae	Salix	lanata	glandulifera	Salix lanata subsp. glandulifera	subspecies	(Flod.) Hiitonen	TRO	28300759		Suomen Kasvio, 264, 264, 1933	
kew-5004907		accepted	Salicaceae	Salix	lanata	richardsonii	Salix lanata subsp. richardsonii	subspecies	(Hook.) A.K.Skvortsov	WCSP (in review)			Fl. Arct. URSS, 103, 1966	
tro-50333302	kew-5004907	synonym	Salicaceae	Salix	lanata	richardsonii	Salix lanata f. richardsonii	f.	(Hook.) Andersson	TRO	50333302			
kew-5001034		doubtful	Salicaceae	Salix	lanatella		Salix × lanatella	species	Rouy	WCSP (in review)		urn:lsid:ipni.org:names:777986-1		
kew-5001028	kew-5003357	doubtful	Salicaceae	Salix	lanceolata		Salix lanceolata	species	Ser.	WCSP (in review)		urn:lsid:ipni.org:names:777988-1		
kew-5001029	kew-5004443	doubtful	Salicaceae	Salix	lanceolata		Salix lanceolata	species	Fr.	WCSP (in review)		urn:lsid:ipni.org:names:777989-1		
kew-5001053	kew-5002239	doubtful	Salicaceae	Salix	lanceolata		Salix × lanceolata	species	Sm.	WCSP (in review)		urn:lsid:ipni.org:names:777987-1		
kew-5001030		doubtful	Salicaceae	Salix	lancifera		Salix lancifera	species	Gand.	WCSP (in review)		urn:lsid:ipni.org:names:777990-1		
kew-5001031	kew-5001040	doubtful	Salicaceae	Salix	lancifolia		Salix lancifolia	species	Andersson	WCSP (in review)		urn:lsid:ipni.org:names:777991-1		
kew-5001032	kew-5004443	doubtful	Salicaceae	Salix	lancifolia		Salix lancifolia	species	Döll	WCSP (in review)		urn:lsid:ipni.org:names:777992-1		
kew-5001033		doubtful	Salicaceae	Salix	langeana		Salix × langeana	species	Rouy	WCSP (in review)		urn:lsid:ipni.org:names:777993-1		
tro-28301461		accepted	Salicaceae	Salix	lanifera		Salix lanifera	species	C.F. Fang & S.D. Zhao	TRO	28301461	urn:lsid:ipni.org:names:896716-1		
kew-5001044		doubtful	Salicaceae	Salix	lantana		Salix lantana	species	Hartig	WCSP (in review)			Vollst. Naturgesch. Culturpfl. Deutschl., 410, 1842	
